date,text_compound,title_compound,BTC_headline,BTC_desc
2022-01-18,0.296,0.0,"Marathon Digital Holdings, Inc. (NASDAQ:MARA) Receives Consensus Rating of ""Buy"" from Brokerages","Marathon Digital Holdings, Inc. (NASDAQ:MARA) Receives Consensus Rating of ""Buy"" from Brokerages MARA Shares of Marathon Digital Holdings, Inc. (NASDAQ:MARA) have been given a consensus recommendation of ""Buy"" by the six brokerages that are currently..."
2022-01-21,-0.2732,0.0,"FY2022 EPS Estimates for Marathon Digital Holdings, Inc. Decreased by DA Davidson (NASDAQ:MARA)","FY2022 EPS Estimates for Marathon Digital Holdings, Inc. Decreased by DA Davidson (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Research analysts at DA Davidson cut their ..."
2022-01-28,0.0,0.0,"$60.50 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter","$60.50 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter MARA Wall Street brokerages expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) to report sales of $60.50 million for the current quarter, according to Z..."
2022-01-28,0.296,0.0,Marathon Digital (NASDAQ:MARA) Earns Buy Rating from Analysts at Jefferies Financial Group,"Marathon Digital (NASDAQ:MARA) Earns Buy Rating from Analysts at Jefferies Financial Group MARA Equities researchers at Jefferies Financial Group started coverage on shares of Marathon Digital (NASDAQ:MARA) in a report issued on Friday, The Fly repor..."
2022-02-09,-0.2732,-0.2732,"B. Riley Analysts Cut Earnings Estimates for Marathon Digital Holdings, Inc. (NASDAQ:MARA)","B. Riley Analysts Cut Earnings Estimates for Marathon Digital Holdings, Inc. (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Research analysts at B. Riley decreased their Q1..."
2022-02-16,0.0,0.0,"Marathon Digital Holdings, Inc. (NASDAQ:MARA) Expected to Announce Quarterly Sales of $60.23 Million","Marathon Digital Holdings, Inc. (NASDAQ:MARA) Expected to Announce Quarterly Sales of $60.23 Million MARA Analysts predict that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will announce sales of $60.23 million for the current fiscal quarter, accord..."
2022-02-21,0.296,0.296,"Marathon Digital Holdings, Inc. Expected to Earn Q4 2021 Earnings of $0.39 Per Share (NASDAQ:MARA)","Marathon Digital Holdings, Inc. Expected to Earn Q4 2021 Earnings of $0.39 Per Share (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Investment analysts at DA Davidson issue..."
2022-02-24,0.4019,0.0,Canaan (CAN) Scheduled to Post Earnings on Thursday,"Canaan (CAN) Scheduled to Post Earnings on Thursday CAN Canaan (NASDAQ:CAN - Get Rating) is scheduled to announce its earnings results before the market opens on Thursday, March 3rd. Investors that wish to listen to the company's conference call can..."
2022-02-28,-0.4939,0.0,"Russian Sanctions Roil Markets, Gold Rises ","Russian Sanctions Roil Markets, Gold Rises  GLD Russia Cut Off From Global Economy, Dollar Steadies  World leaders have moved to cut Russia off from the global economy and monetary system due to the incursion into Ukraine. The moves include a..."
2022-03-07,-0.128,0.0,"B. Riley Weighs in on Marathon Digital Holdings, Inc.'s FY2022 Earnings (NASDAQ:MARA)","B. Riley Weighs in on Marathon Digital Holdings, Inc.'s FY2022 Earnings (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA - Get Rating) - B. Riley lowered their FY2022 EPS estima..."
2022-03-08,0.0,0.0,Marathon Digital (NASDAQ:MARA) Price Target Raised to $66.00,"Marathon Digital (NASDAQ:MARA) Price Target Raised to $66.00 MARA Marathon Digital (NASDAQ:MARA - Get Rating) had its price target upped by research analysts at Compass Point from $48.00 to $66.00 in a research note issued to investors on Tuesday, B..."
2022-03-08,0.7906,0.4588,Canaan Inc. (NASDAQ:CAN) Short Interest Update,"Canaan Inc. (NASDAQ:CAN) Short Interest Update CAN Canaan Inc. (NASDAQ:CAN - Get Rating) was the target of a large drop in short interest during the month of February. As of February 15th, there was short interest totalling 5,360,000 shares, a drop ..."
2022-03-09,0.0,0.0,"Marathon Digital Holdings, Inc. (NASDAQ:MARA) Receives Average Recommendation of ""Buy"" from Brokerages","Marathon Digital Holdings, Inc. (NASDAQ:MARA) Receives Average Recommendation of ""Buy"" from Brokerages MARA Marathon Digital Holdings, Inc. (NASDAQ:MARA - Get Rating) has been assigned an average recommendation of ""Buy"" from the seven ratings firms t..."
2022-03-09,0.5267,0.296,Marathon Digital (NASDAQ:MARA) Shares Gap Up on Analyst Upgrade,"Marathon Digital (NASDAQ:MARA) Shares Gap Up on Analyst Upgrade MARA Shares of Marathon Digital Holdings, Inc. (NASDAQ:MARA - Get Rating) gapped up before the market opened on Wednesday after Compass Point raised their price target on the stock from..."
2022-03-11,0.296,0.296,Marathon Digital (NASDAQ:MARA) Shares Gap Up on Analyst Upgrade,"Marathon Digital (NASDAQ:MARA) Shares Gap Up on Analyst Upgrade MARA Marathon Digital Holdings, Inc. (NASDAQ:MARA - Get Rating) gapped up before the market opened on Wednesday after Compass Point raised their price target on the stock from $48.00 to..."
