date,r1,r2,pivot,y_test,predictions,daily returns,model returns
2022-01-31,38249.13132666667,38486.93200666667,37864.21666666667,1.0,1.0,0.015446484007078931,0.015446484007078931
2022-02-01,38754.38764666667,39252.67568666667,37947.83666666667,-1.0,1.0,0.005919114875386322,0.005919114875386322
2022-02-02,39136.56973333333,39435.156933333325,38653.26333333333,1.0,1.0,-0.046472388000493026,-0.046472388000493026
2022-02-03,38313.156539999996,38848.63346,37446.409999999996,1.0,1.0,0.011254497733651725,0.011254497733651725
2022-02-04,37417.204000000005,37685.536,36982.87,-1.0,1.0,0.11424433306415893,0.11424433306415893
2022-02-05,41937.25586666667,43057.21746666667,40124.43666666667,1.0,-1.0,-0.004610065124446061,-0.004610065124446061
2022-02-06,41788.763093333335,42041.44357333334,41379.763333333336,1.0,-1.0,0.02412318803632174,-0.02412318803632174
2022-02-07,42639.20941333334,43002.51725333333,42051.14333333333,1.0,-1.0,0.03442874108058658,-0.03442874108058658
2022-02-08,44419.2563,45092.9537,43328.78,1.0,-1.0,0.004630475508776266,-0.004630475508776266
2022-02-09,45146.528666666665,45813.46466666667,44066.996666666666,-1.0,-1.0,0.007486548937753801,-0.007486548937753801
2022-02-10,44738.71922666667,45135.45410666667,44096.54666666667,-1.0,-1.0,-0.01977070596528674,0.01977070596528674
2022-02-11,45174.633513333334,45799.32315333334,44163.48333333334,-1.0,-1.0,-0.025789140194926174,0.025789140194926174
2022-02-12,43501.00918000001,43968.64082000001,42744.08000000001,-1.0,-1.0,-0.003678222332563097,0.003678222332563097
2022-02-13,42859.95968666667,43188.143646666664,42328.746666666666,1.0,-1.0,-0.0038895851448687013,0.0038895851448687013
2022-02-14,42567.86666666667,42777.90666666666,42227.886666666665,1.0,-1.0,0.01146820514552127,-0.01146820514552127
2022-02-15,42803.116213333335,43107.99045333333,42309.63333333333,-1.0,-1.0,0.04722876701443535,-0.04722876701443535
2022-02-16,44795.67267333333,45344.22399333333,43907.76333333333,-1.0,-1.0,-0.015070201141052064,0.015070201141052064
2022-02-17,44384.991206666666,44678.33212666667,43910.176666666666,-1.0,-1.0,-0.07653493356819008,0.07653493356819008
2022-02-18,43147.493,44113.087,41584.54,1.0,-1.0,-0.013359265667383102,0.013359265667383102
2022-02-19,40704.88082666667,41061.21250666666,40128.10666666667,-1.0,-1.0,0.0026199241315199018,-0.0026199241315199018
2022-02-20,40361.79411333333,40551.842553333336,40054.17333333333,-1.0,-1.0,-0.042223429277602254,0.042223429277602254
2022-02-21,39649.36141333334,40150.965253333336,38837.443333333336,1.0,1.0,-0.035916689265527824,0.035916689265527824
2022-02-22,38796.74503333333,39432.611633333334,37767.503333333334,-1.0,1.0,0.03302433841617636,0.03302433841617636
2022-02-23,38463.954666666665,38954.598666666665,37669.776666666665,1.0,1.0,-0.025642467642837508,-0.025642467642837508
2022-02-24,38690.996146666665,39213.29718666667,37845.57666666667,1.0,1.0,0.02891811304211722,0.02891811304211722
2022-02-25,39606.411706666666,40909.30162666667,37497.496666666666,-1.0,-1.0,0.02327223922638777,0.02327223922638777
2022-02-26,39609.97578666666,40003.89754666667,38972.35666666667,-1.0,1.0,-0.0026122429413982795,0.0026122429413982795
2022-02-27,40024.26980666667,40443.23352666666,39346.11666666667,1.0,1.0,-0.03624153558887355,-0.03624153558887355
2022-02-28,39275.80073333333,39949.74593333333,38184.92333333333,1.0,1.0,0.14485582800848928,0.14485582800848928
2022-03-01,44200.30927333333,45799.367393333334,41612.003333333334,-1.0,-1.0,0.029221501390175986,0.029221501390175986
2022-03-02,44877.16564,45381.97435999999,44060.06,-1.0,-1.0,-0.011891169081429398,0.011891169081429398
2022-03-03,44998.20095333334,45485.75571333334,44209.02333333334,-1.0,-1.0,-0.032783830124999525,0.032783830124999525
2022-03-04,43662.49688,44197.943119999996,42795.799999999996,1.0,-1.0,-0.07785697460781071,0.07785697460781071
2022-03-05,41594.6486,42533.2914,40075.32,-1.0,-1.0,0.006368034052761873,-0.006368034052761873
2022-03-06,39600.154966666654,39884.688366666654,39139.59666666666,-1.0,1.0,-0.024802045588147248,0.024802045588147248
