date,BTC_headline,BTC_desc,text_compound,text_pos,text_neu,text_neg,title_compound,title_pos,title_neu,title_neg
2021-11-08,"Zacks: Brokerages Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Post Quarterly Sales of $75.05 Million","Zacks: Brokerages Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Post Quarterly Sales of $75.05 Million MARA Wall Street brokerages forecast that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will announce $75.05 million in sales for the c...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-11-12,Marathon Digital (NASDAQ:MARA) Shares Down 12.2% on Disappointing Earnings,"Marathon Digital (NASDAQ:MARA) Shares Down 12.2% on Disappointing Earnings MARA Marathon Digital Holdings, Inc. (NASDAQ:MARA) shares fell 12.2% during trading on Wednesday after the company announced weaker than expected quarterly earnings. The com...",-0.4019,0.111,0.734,0.154,-0.25,0.177,0.565,0.258
2021-11-18,"Zacks Investment Research Upgrades Marathon Digital (NASDAQ:MARA) to ""Strong-Buy""","Zacks Investment Research Upgrades Marathon Digital (NASDAQ:MARA) to ""Strong-Buy"" MARA Marathon Digital (NASDAQ:MARA) was upgraded by Zacks Investment Research from a ""hold"" rating to a ""strong-buy"" rating in a research note issued to investors on Th...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-11-20,"Marathon Digital Holdings, Inc. (NASDAQ:MARA) to Post Q1 2022 Earnings of $1.03 Per Share, B. Riley Forecasts","Marathon Digital Holdings, Inc. (NASDAQ:MARA) to Post Q1 2022 Earnings of $1.03 Per Share, B. Riley Forecasts MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Equities researchers at B. Ri...",0.296,0.061,0.939,0.0,0.296,0.121,0.879,0.0
2021-11-27,"Brokerages Anticipate Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $133.85 Million","Brokerages Anticipate Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $133.85 Million MARA Wall Street brokerages expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) to announce $133.85 million in sales for the curren...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-12-16,Marathon Digital (NASDAQ:MARA) Rating Lowered to Hold at Zacks Investment Research,"Marathon Digital (NASDAQ:MARA) Rating Lowered to Hold at Zacks Investment Research MARA Marathon Digital (NASDAQ:MARA) was downgraded by Zacks Investment Research from a ""buy"" rating to a ""hold"" rating in a research report issued on Thursday, Zacks.c...",-0.128,0.0,0.957,0.043,-0.128,0.0,0.87,0.13
2021-12-18,"Zacks: Analysts Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $133.85 Million","Zacks: Analysts Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $133.85 Million MARA Wall Street brokerages forecast that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will post $133.85 million in sales for the c...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-12-22,"FY2022 Earnings Forecast for Marathon Digital Holdings, Inc. Issued By DA Davidson (NASDAQ:MARA)","FY2022 Earnings Forecast for Marathon Digital Holdings, Inc. Issued By DA Davidson (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Investment analysts at DA Davidson upped t...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-01-05,Marathon Digital (NASDAQ:MARA) PT Lowered to $74.00 at B. Riley,"Marathon Digital (NASDAQ:MARA) PT Lowered to $74.00 at B. Riley MARA Marathon Digital (NASDAQ:MARA) had its price target cut by investment analysts at B. Riley from $92.00 to $74.00 in a research report issued on Wednesday, The Fly reports. B. Riley...",-0.3818,0.0,0.913,0.087,-0.128,0.0,0.857,0.143
2022-01-07,"$85.75 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter","$85.75 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter MARA Wall Street brokerages expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) to post sales of $85.75 million for the current fiscal quarter, Zacks rep...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
