date,title_pos,title_neg,low,y_test,predictions,daily returns,model returns
2022-01-18,0.0,0.0,41250.0,-1.0,-1.0,0.003566213808853691,-0.003566213808853691
2022-01-19,0.0,0.0,41138.56,-1.0,-1.0,-0.01634180296051302,0.01634180296051302
2022-01-20,0.0,0.0,40553.31,-1.0,-1.0,-0.023502154704235556,0.023502154704235556
2022-01-21,0.0,0.0,35440.45,-1.0,-1.0,-0.10411763158690412,0.10411763158690412
2022-01-22,0.0,0.0,34008.0,1.0,-1.0,-0.03769730590849685,0.03769730590849685
2022-01-23,0.0,0.0,34601.01,1.0,-1.0,0.033449743409305954,-0.033449743409305954
2022-01-24,0.0,0.0,32917.17,1.0,-1.0,0.011472069593911227,-0.011472069593911227
2022-01-25,0.0,0.0,35701.0,-1.0,-1.0,0.008127854753159802,-0.008127854753159802
2022-01-26,0.0,0.0,36234.63,1.0,-1.0,-0.004031027384361674,0.004031027384361674
2022-01-27,0.0,0.0,35507.01,1.0,-1.0,0.009529103211304513,-0.009529103211304513
2022-01-28,0.0,0.0,36155.01,1.0,-1.0,0.01497466368497391,-0.01497466368497391
2022-01-29,0.0,0.0,37268.44,-1.0,-1.0,0.011938522495158699,-0.011938522495158699
2022-01-30,0.0,0.0,37351.63,1.0,-1.0,-0.0074693110564038045,0.0074693110564038045
2022-01-31,0.0,0.0,36632.61,1.0,-1.0,0.015446484007078931,-0.015446484007078931
2022-02-01,0.0,0.0,38000.0,-1.0,-1.0,0.005919114875386322,-0.005919114875386322
2022-02-02,0.0,0.0,36586.95,1.0,-1.0,-0.046472388000493026,0.046472388000493026
2022-02-03,0.0,0.0,36250.0,1.0,-1.0,0.011254497733651725,-0.011254497733651725
2022-02-04,0.0,0.0,37026.73,-1.0,-1.0,0.11424433306415893,-0.11424433306415893
2022-02-05,0.0,0.0,40843.01,1.0,-1.0,-0.004610065124446061,0.004610065124446061
2022-02-06,0.0,0.0,41116.56,1.0,-1.0,0.02412318803632174,-0.02412318803632174
2022-02-07,0.0,0.0,41645.85,1.0,-1.0,0.03442874108058658,-0.03442874108058658
2022-02-08,0.0,0.0,42666.0,1.0,-1.0,0.004630475508776266,-0.004630475508776266
2022-02-09,0.0,0.16,43117.92,-1.0,-1.0,0.007486548937753801,-0.007486548937753801
2022-02-10,0.0,0.0,43174.01,-1.0,-1.0,-0.01977070596528674,0.01977070596528674
2022-02-11,0.0,0.0,41938.51,-1.0,-1.0,-0.025789140194926174,0.025789140194926174
2022-02-12,0.0,0.0,41688.88,-1.0,-1.0,-0.003678222332563097,0.003678222332563097
2022-02-13,0.0,0.0,41870.0,1.0,-1.0,-0.0038895851448687013,0.0038895851448687013
2022-02-14,0.0,0.0,41550.56,1.0,-1.0,0.01146820514552127,-0.01146820514552127
2022-02-15,0.0,0.0,42427.03,-1.0,-1.0,0.04722876701443535,-0.04722876701443535
2022-02-16,0.0,0.0,43307.0,-1.0,-1.0,-0.015070201141052064,0.015070201141052064
2022-02-17,0.0,0.0,40073.21,-1.0,-1.0,-0.07653493356819008,0.07653493356819008
2022-02-18,0.0,0.0,39450.0,1.0,-1.0,-0.013359265667383102,0.013359265667383102
2022-02-19,0.0,0.0,39639.03,-1.0,-1.0,0.0026199241315199018,-0.0026199241315199018
2022-02-20,0.0,0.0,38000.0,-1.0,-1.0,-0.042223429277602254,0.042223429277602254
2022-02-21,0.136,0.0,36800.0,1.0,-1.0,-0.035916689265527824,0.035916689265527824
2022-02-22,0.0,0.0,36350.0,-1.0,-1.0,0.03302433841617636,-0.03302433841617636
2022-02-23,0.0,0.0,37036.79,1.0,-1.0,-0.025642467642837508,0.025642467642837508
2022-02-24,0.0,0.0,34322.28,1.0,-1.0,0.02891811304211722,-0.02891811304211722
2022-02-25,0.0,0.0,38014.37,-1.0,-1.0,0.02327223922638777,-0.02327223922638777
2022-02-26,0.0,0.0,38573.18,-1.0,-1.0,-0.0026122429413982795,0.0026122429413982795
2022-02-27,0.0,0.0,37000.0,1.0,-1.0,-0.03624153558887355,0.03624153558887355
2022-02-28,0.0,0.0,37450.17,1.0,-1.0,0.14485582800848928,-0.14485582800848928
2022-03-01,0.0,0.0,42809.98,-1.0,-1.0,0.029221501390175986,-0.029221501390175986
2022-03-02,0.0,0.0,43334.09,-1.0,-1.0,-0.011891169081429398,0.011891169081429398
2022-03-03,0.0,0.0,41832.28,-1.0,-1.0,-0.032783830124999525,0.032783830124999525
2022-03-04,0.0,0.0,38550.0,1.0,-1.0,-0.07785697460781071,0.07785697460781071
2022-03-05,0.0,0.0,38407.59,-1.0,-1.0,0.006368034052761873,-0.006368034052761873
2022-03-06,0.0,0.0,38088.57,-1.0,-1.0,-0.024802045588147248,0.024802045588147248
2022-03-07,0.0,0.0,37155.0,1.0,-1.0,-0.011264988947395915,0.011264988947395915
2022-03-08,0.0,0.0,37867.65,1.0,-1.0,0.019549068126776703,-0.019549068126776703
2022-03-09,0.0,0.0,38656.45,-1.0,-1.0,0.08290802395933139,-0.08290802395933139
