date,volume,consecutive,r3,y_test,predictions,daily returns,model returns
2022-02-28,73945.63858,1.0,41040.62333333333,1.0,1.0,0.14485582800848928,0.14485582800848928
2022-03-01,61743.09873,2.0,48387.67333333333,-1.0,1.0,0.029221501390175986,0.029221501390175986
2022-03-02,57782.65081,-1.0,46199.079999999994,-1.0,1.0,-0.011891169081429398,-0.011891169081429398
2022-03-03,50940.61021,-2.0,46274.93333333334,-1.0,1.0,-0.032783830124999525,-0.032783830124999525
2022-03-04,61964.68498,-3.0,45064.64,1.0,1.0,-0.07785697460781071,-0.07785697460781071
2022-03-05,30363.13341,1.0,44052.62,-1.0,1.0,0.006368034052761873,0.006368034052761873
2022-03-06,39677.26158,-1.0,40345.24666666666,-1.0,1.0,-0.024802045588147248,-0.024802045588147248
2022-03-07,63941.20316,-2.0,40339.71666666667,1.0,1.0,-0.011264988947395915,-0.011264988947395915
2022-03-08,55528.43367,1.0,40622.76,1.0,1.0,0.019549068126776703,0.019549068126776703
2022-03-09,67392.58799,2.0,40147.88333333334,-1.0,1.0,0.08290802395933139,0.08290802395933139
2022-03-10,71950.25677,-1.0,45001.683333333334,-1.0,1.0,-0.0600764727999884,-0.0600764727999884
2022-03-11,59018.7642,-2.0,43500.353333333325,1.0,1.0,-0.01756455786109279,-0.01756455786109279
2022-03-12,24034.36432,1.0,41075.80333333334,-1.0,1.0,0.0020085428265792515,0.0020085428265792515
2022-03-13,32791.82359,-1.0,39811.05333333334,1.0,1.0,-0.026541872469552308,-0.026541872469552308
2022-03-14,46945.45375,1.0,39953.44,-1.0,1.0,0.05013666923081428,0.05013666923081428
