date,title_pos,title_neg,s3,y_test,predictions,daily returns,model returns
2022-02-03,0.0,0.0,35177.439999999995,1.0,1.0,0.011254497733651725,0.011254497733651725
2022-02-04,0.0,0.0,35845.87,-1.0,1.0,0.11424433306415893,0.11424433306415893
2022-02-05,0.0,0.0,35378.83666666667,1.0,1.0,-0.004610065124446061,-0.004610065124446061
2022-02-06,0.0,0.0,40309.083333333336,1.0,1.0,0.02412318803632174,0.02412318803632174
2022-02-07,0.0,0.0,40511.70333333333,1.0,1.0,0.03442874108058658,0.03442874108058658
2022-02-08,0.0,0.0,40474.13,1.0,1.0,0.004630475508776266,0.004630475508776266
2022-02-09,0.0,0.16,41240.996666666666,-1.0,1.0,0.007486548937753801,0.007486548937753801
2022-02-10,0.0,0.0,42415.46666666667,-1.0,1.0,-0.01977070596528674,-0.01977070596528674
2022-02-11,0.0,0.0,41516.49333333334,-1.0,1.0,-0.025789140194926174,-0.025789140194926174
2022-02-12,0.0,0.0,40762.59000000001,-1.0,1.0,-0.003678222332563097,-0.003678222332563097
2022-02-13,0.0,0.0,40938.136666666665,1.0,1.0,-0.0038895851448687013,-0.0038895851448687013
2022-02-14,0.0,0.0,41337.886666666665,1.0,1.0,0.01146820514552127,0.01146820514552127
2022-02-15,0.0,0.0,41017.79333333333,-1.0,1.0,0.04722876701443535,0.04722876701443535
2022-02-16,0.0,0.0,41583.393333333326,-1.0,1.0,-0.015070201141052064,-0.015070201141052064
2022-02-17,0.0,0.0,42667.206666666665,-1.0,1.0,-0.07653493356819008,-0.07653493356819008
2022-02-18,0.0,0.0,37493.04,1.0,1.0,-0.013359265667383102,-0.013359265667383102
2022-02-19,0.0,0.0,38618.22666666667,-1.0,1.0,0.0026199241315199018,0.0026199241315199018
2022-02-20,0.0,0.0,39248.88333333333,-1.0,1.0,-0.042223429277602254,-0.042223429277602254
2022-02-21,0.136,0.0,36712.003333333334,1.0,1.0,-0.035916689265527824,-0.035916689265527824
2022-02-22,0.0,0.0,35073.153333333335,-1.0,1.0,0.03302433841617636,0.03302433841617636
2022-02-23,0.0,0.0,35590.776666666665,1.0,1.0,-0.025642467642837508,-0.025642467642837508
2022-02-24,0.0,0.0,35632.43666666667,1.0,1.0,0.02891811304211722,0.02891811304211722
2022-02-25,0.0,0.0,31976.776666666665,-1.0,1.0,0.02327223922638777,0.02327223922638777
2022-02-26,0.0,0.0,37303.19666666667,-1.0,1.0,-0.0026122429413982795,-0.0026122429413982795
2022-02-27,0.0,0.0,37570.84666666667,1.0,1.0,-0.03624153558887355,-0.03624153558887355
2022-02-28,0.0,0.0,35329.223333333335,1.0,1.0,0.14485582800848928,0.14485582800848928
2022-03-01,0.0,0.0,34836.333333333336,-1.0,1.0,0.029221501390175986,0.029221501390175986
2022-03-02,0.0,0.0,41921.04,-1.0,1.0,-0.011891169081429398,-0.011891169081429398
2022-03-03,0.0,0.0,42143.113333333335,-1.0,1.0,-0.032783830124999525,-0.032783830124999525
2022-03-04,0.0,0.0,40526.95999999999,1.0,1.0,-0.07785697460781071,-0.07785697460781071
2022-03-05,0.0,0.0,36098.02,-1.0,1.0,0.006368034052761873,0.006368034052761873
2022-03-06,0.0,0.0,37933.946666666656,-1.0,1.0,-0.024802045588147248,-0.024802045588147248
2022-03-07,0.0,0.0,37129.11666666666,1.0,1.0,-0.011264988947395915,-0.011264988947395915
2022-03-08,0.0,0.0,35837.62,1.0,1.0,0.019549068126776703,0.019549068126776703
2022-03-09,0.0,0.0,37159.02333333334,-1.0,1.0,0.08290802395933139,0.08290802395933139
