date,5 period EMA,consecutive,12 period EMA,y_test,predictions,daily returns,model returns
2022-02-25,38615.33991886853,2.0,39452.88361817314,-1.0,1.0,0.02327223922638777,0.02327223922638777
2022-02-26,38782.466612579046,-1.0,39401.165876972766,-1.0,1.0,-0.0026122429413982795,-0.0026122429413982795
2022-02-27,38421.334408386,-2.0,39139.30385255196,1.0,1.0,-0.03624153558887355,-0.03624153558887355
2022-02-28,40000.88960559077,1.0,39757.87472980309,1.0,1.0,0.14485582800848928,0.14485582800848928
2022-03-01,41474.32640372724,2.0,40475.31158427718,-1.0,1.0,0.029221501390175986,0.029221501390175986
2022-03-02,42280.54426915151,-1.0,41001.10808790803,-1.0,1.0,-0.011891169081429398,-0.011891169081429398
2022-03-03,42338.36284610101,-2.0,41224.63041073255,-1.0,1.0,-0.032783830124999525,-0.032783830124999525
2022-03-04,41275.12856406733,-3.0,40905.24975488253,1.0,1.0,-0.07785697460781071,-0.07785697460781071
2022-03-05,40649.40570937821,1.0,40673.35865925374,-1.0,1.0,0.006368034052761873,0.006368034052761873
2022-03-06,39906.54047291881,-1.0,40326.81225125287,-1.0,1.0,-0.024802045588147248,-0.024802045588147248
2022-03-07,39267.02698194587,-2.0,39966.99457732073,1.0,1.0,-0.011264988947395915,-0.011264988947395915
2022-03-08,39088.22798796392,1.0,39776.784461410956,1.0,1.0,0.019549068126776703,0.019549068126776703
2022-03-09,40039.388658642616,2.0,40109.85019697206,-1.0,1.0,0.08290802395933139,0.08290802395933139
2022-03-10,39833.59243909508,-1.0,40004.02701767234,-1.0,1.0,-0.0600764727999884,-0.0600764727999884
2022-03-11,39465.58495939673,-2.0,39807.95659426739,1.0,1.0,-0.01756455786109279,-0.01756455786109279
2022-03-12,39246.17663959782,1.0,39654.018581622724,-1.0,1.0,0.0020085428265792515,0.0020085428265792515
2022-03-13,38756.564426398545,-1.0,39365.29868070547,1.0,1.0,-0.026541872469552308,-0.026541872469552308
2022-03-14,39061.49961759903,1.0,39412.386592421484,-1.0,1.0,0.05013666923081428,0.05013666923081428
