date,title_pos,title_neg,r1,y_test,predictions,daily returns,model returns
2022-01-27,0.0,0.0,38347.12036666667,1.0,1.0,0.009529103211304513,0.009529103211304513
2022-01-28,0.0,0.0,37293.74972000001,1.0,1.0,0.01497466368497391,0.01497466368497391
2022-01-29,0.0,0.0,37995.30951333334,-1.0,1.0,0.011938522495158699,0.011938522495158699
2022-01-30,0.0,0.0,38606.78526666666,1.0,1.0,-0.0074693110564038045,-0.0074693110564038045
2022-01-31,0.0,0.0,38249.13132666667,1.0,1.0,0.015446484007078931,0.015446484007078931
2022-02-01,0.0,0.0,38754.38764666667,-1.0,1.0,0.005919114875386322,0.005919114875386322
2022-02-02,0.0,0.0,39136.56973333333,1.0,1.0,-0.046472388000493026,-0.046472388000493026
2022-02-03,0.0,0.0,38313.156539999996,1.0,1.0,0.011254497733651725,0.011254497733651725
2022-02-04,0.0,0.0,37417.204000000005,-1.0,1.0,0.11424433306415893,0.11424433306415893
2022-02-05,0.0,0.0,41937.25586666667,1.0,1.0,-0.004610065124446061,-0.004610065124446061
2022-02-06,0.0,0.0,41788.763093333335,1.0,1.0,0.02412318803632174,0.02412318803632174
2022-02-07,0.0,0.0,42639.20941333334,1.0,1.0,0.03442874108058658,0.03442874108058658
2022-02-08,0.0,0.0,44419.2563,1.0,1.0,0.004630475508776266,0.004630475508776266
2022-02-09,0.0,0.16,45146.528666666665,-1.0,1.0,0.007486548937753801,0.007486548937753801
2022-02-10,0.0,0.0,44738.71922666667,-1.0,1.0,-0.01977070596528674,-0.01977070596528674
2022-02-11,0.0,0.0,45174.633513333334,-1.0,1.0,-0.025789140194926174,-0.025789140194926174
2022-02-12,0.0,0.0,43501.00918000001,-1.0,1.0,-0.003678222332563097,-0.003678222332563097
2022-02-13,0.0,0.0,42859.95968666667,1.0,1.0,-0.0038895851448687013,-0.0038895851448687013
