date,r2,consecutive,low,y_test,predictions,daily returns,model returns
2022-01-29,38430.72715333334,3.0,37268.44,-1.0,1.0,0.011938522495158699,0.011938522495158699
2022-01-30,38949.52806666666,-1.0,37351.63,1.0,1.0,-0.0074693110564038045,-0.0074693110564038045
2022-01-31,38486.93200666667,1.0,36632.61,1.0,1.0,0.015446484007078931,0.015446484007078931
2022-02-01,39252.67568666667,2.0,38000.0,-1.0,1.0,0.005919114875386322,0.005919114875386322
2022-02-02,39435.156933333325,-1.0,36586.95,1.0,1.0,-0.046472388000493026,-0.046472388000493026
2022-02-03,38848.63346,1.0,36250.0,1.0,1.0,0.011254497733651725,0.011254497733651725
2022-02-04,37685.536,2.0,37026.73,-1.0,1.0,0.11424433306415893,0.11424433306415893
2022-02-05,43057.21746666667,-1.0,40843.01,1.0,1.0,-0.004610065124446061,-0.004610065124446061
2022-02-06,42041.44357333334,1.0,41116.56,1.0,1.0,0.02412318803632174,0.02412318803632174
2022-02-07,43002.51725333333,2.0,41645.85,1.0,1.0,0.03442874108058658,0.03442874108058658
2022-02-08,45092.9537,3.0,42666.0,1.0,1.0,0.004630475508776266,0.004630475508776266
2022-02-09,45813.46466666667,4.0,43117.92,-1.0,1.0,0.007486548937753801,0.007486548937753801
2022-02-10,45135.45410666667,-1.0,43174.01,-1.0,1.0,-0.01977070596528674,-0.01977070596528674
2022-02-11,45799.32315333334,-2.0,41938.51,-1.0,1.0,-0.025789140194926174,-0.025789140194926174
2022-02-12,43968.64082000001,-3.0,41688.88,-1.0,1.0,-0.003678222332563097,-0.003678222332563097
2022-02-13,43188.143646666664,-4.0,41870.0,1.0,1.0,-0.0038895851448687013,-0.0038895851448687013
2022-02-14,42777.90666666666,1.0,41550.56,1.0,1.0,0.01146820514552127,0.01146820514552127
2022-02-15,43107.99045333333,2.0,42427.03,-1.0,1.0,0.04722876701443535,0.04722876701443535
2022-02-16,45344.22399333333,-1.0,43307.0,-1.0,1.0,-0.015070201141052064,-0.015070201141052064
2022-02-17,44678.33212666667,-2.0,40073.21,-1.0,1.0,-0.07653493356819008,-0.07653493356819008
2022-02-18,44113.087,-3.0,39450.0,1.0,1.0,-0.013359265667383102,-0.013359265667383102
2022-02-19,41061.21250666666,1.0,39639.03,-1.0,1.0,0.0026199241315199018,0.0026199241315199018
2022-02-20,40551.842553333336,-1.0,38000.0,-1.0,1.0,-0.042223429277602254,-0.042223429277602254
2022-02-21,40150.965253333336,-2.0,36800.0,1.0,1.0,-0.035916689265527824,-0.035916689265527824
2022-02-22,39432.611633333334,1.0,36350.0,-1.0,1.0,0.03302433841617636,0.03302433841617636
2022-02-23,38954.598666666665,-1.0,37036.79,1.0,1.0,-0.025642467642837508,-0.025642467642837508
2022-02-24,39213.29718666667,1.0,34322.28,1.0,1.0,0.02891811304211722,0.02891811304211722
2022-02-25,40909.30162666667,2.0,38014.37,-1.0,1.0,0.02327223922638777,0.02327223922638777
2022-02-26,40003.89754666667,-1.0,38573.18,-1.0,1.0,-0.0026122429413982795,-0.0026122429413982795
2022-02-27,40443.23352666666,-2.0,37000.0,1.0,1.0,-0.03624153558887355,-0.03624153558887355
2022-02-28,39949.74593333333,1.0,37450.17,1.0,1.0,0.14485582800848928,0.14485582800848928
2022-03-01,45799.367393333334,2.0,42809.98,-1.0,1.0,0.029221501390175986,0.029221501390175986
2022-03-02,45381.97435999999,-1.0,43334.09,-1.0,1.0,-0.011891169081429398,-0.011891169081429398
2022-03-03,45485.75571333334,-2.0,41832.28,-1.0,1.0,-0.032783830124999525,-0.032783830124999525
2022-03-04,44197.943119999996,-3.0,38550.0,1.0,1.0,-0.07785697460781071,-0.07785697460781071
2022-03-05,42533.2914,1.0,38407.59,-1.0,1.0,0.006368034052761873,0.006368034052761873
2022-03-06,39884.688366666654,-1.0,38088.57,-1.0,1.0,-0.024802045588147248,-0.024802045588147248
2022-03-07,39726.492066666666,-2.0,37155.0,1.0,1.0,-0.011264988947395915,-0.011264988947395915
2022-03-08,39708.79826,1.0,37867.65,1.0,1.0,0.019549068126776703,0.019549068126776703
2022-03-09,39577.01107333334,2.0,38656.45,-1.0,1.0,0.08290802395933139,0.08290802395933139
2022-03-10,43497.51631333333,-1.0,38539.73,-1.0,1.0,-0.0600764727999884,-0.0600764727999884
2022-03-11,42163.39153333333,-2.0,38223.6,1.0,1.0,-0.01756455786109279,-0.01756455786109279
2022-03-12,40306.96721333334,1.0,38660.52,-1.0,1.0,0.0020085428265792515,0.0020085428265792515
2022-03-13,39495.44875333334,-1.0,37578.51,1.0,1.0,-0.026541872469552308,-0.026541872469552308
2022-03-14,39292.01082,1.0,37555.0,-1.0,1.0,0.05013666923081428,0.05013666923081428
